age,workclass,final_pop_weight,education,marital_status,occupation,race,sex,capital_gain,work_hours_per_week,native_country,income
40,Local-gov,147372,College,Never-married,Armed-Forces,White,Male,139802.44973452957,40,United-States,0.0
38,Private,237608,Bachelors,Never-married,Sales,White,Female,68825.68391813485,45,United-States,0.0
33,Private,194901,Doctorate,Separated,Craft-repair,White,Male,117017.65093894413,42,United-States,0.0
43,Private,155106,doc,Divorced,Craft-repair,White,Male,0.0,-1,United-States,0.0
50,Self-emp-inc,121441,primary school,Never-married,Exec-managerial,White,Male,0.0,40,United-States,0.0
44,Private,162028,College,Married-civ-spouse,Adm-clerical,White,Female,0.0,6,United-States,0.0
51,Self-emp-not-inc,160724,Bachelors,Married-civ-spouse,Sales,Asian-Pac-Islander,Male,0.0,-1,China,0.0
41,Private,132222,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,40,United-States,0.0
60,Self-emp-inc,226355,Doctorate,Married-civ-spouse,Machine-op-inspct,White,Male,13935.693741492914,70,?,0.0
37,Private,329980,Masters,Married-civ-spouse,Exec-managerial,White,Male,16388.67192586418,60,United-States,0.0
55,Self-emp-inc,124137,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,35,Greece,0.0
39,Self-emp-inc,329980,Bachelors,Married-civ-spouse,Sales,White,Male,0.0,60,United-States,0.0
42,Self-emp-inc,187702,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,60,United-States,0.0
49,Private,199029,Bachelors,Married-civ-spouse,Sales,White,Male,0.0,55,United-States,0.0
47,Self-emp-not-inc,145290,Highschool,Married-civ-spouse,Exec-managerial,White,Male,0.0,50,United-States,0.0
41,Local-gov,297248,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,45,United-States,0.0
55,Self-emp-inc,227856,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,50,United-States,0.0
39,Private,179731,Masters,Married-civ-spouse,Exec-managerial,White,Female,0.0,65,United-States,0.0
42,Private,154374,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,60,United-States,0.0
41,?,27187,Doctorate,Married-civ-spouse,?,White,Male,0.0,12,United-States,0.0
46,Private,326857,Masters,Married-civ-spouse,Sales,White,Male,0.0,65,United-States,0.0
40,Private,160369,Masters,Married-civ-spouse,Exec-managerial,White,Male,0.0,45,United-States,0.0
32,Private,396745,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0.0,48,United-States,0.0
41,Self-emp-inc,151089,College,Married-civ-spouse,Exec-managerial,White,Male,0.0,55,United-States,0.0
60,Self-emp-inc,336188,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,80,United-States,0.0
31,Private,279015,Masters,Married-civ-spouse,Exec-managerial,White,Male,52971.09296804444,70,Taiwan,0.0
58,Self-emp-not-inc,43221,College,Married-civ-spouse,Farming-fishing,White,Male,0.0,40,United-States,0.0
37,Self-emp-inc,30529,Bachelors,Married-civ-spouse,Sales,White,Male,0.0,50,United-States,0.0
44,Self-emp-not-inc,201742,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,50,United-States,0.0
39,Self-emp-not-inc,218490,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,50,?,0.0
43,Federal-gov,156996,doctorate,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,0.0,55,?,0.0
55,Self-emp-inc,298449,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,50,United-States,0.0
44,Self-emp-inc,191712,Masters,Married-civ-spouse,Prof-specialty,White,Male,0.0,55,United-States,0.0
39,Private,198654,doctorate,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,70401.63391611421,67,India,0.0
46,Self-emp-not-inc,102308,Bachelors,Married-civ-spouse,Sales,White,Male,0.0,40,United-States,0.0
39,Private,348521,College,Married-civ-spouse,Farming-fishing,White,Male,0.0,99,United-States,0.0
62,Self-emp-inc,56248,Bachelors,Married-civ-spouse,Farming-fishing,White,Male,0.0,60,United-States,0.0
31,Self-emp-not-inc,252752,Highschool,Married-civ-spouse,Other-service,White,Female,0.0,40,United-States,0.0
46,Private,192963,Bachelors,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Male,0.0,35,Philippines,0.0
46,Self-emp-not-inc,198759,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,80,United-States,0.0
39,Self-emp-inc,143123,Doctorate,Married-civ-spouse,Craft-repair,White,Male,24855.767631549257,40,United-States,0.0
39,Private,237713,doctorate,Married-civ-spouse,Sales,White,Male,0.0,99,United-States,0.0
59,Private,81929,primary school,Married-civ-spouse,Prof-specialty,White,Male,0.0,45,United-States,0.0
50,Self-emp-inc,167793,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,60,United-States,0.0
46,Private,456062,primary school,Married-civ-spouse,Prof-specialty,White,Male,0.0,55,United-States,0.0
999,Self-emp-not-inc,105478,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,63123.16342981116,40,United-States,0.0
50,Self-emp-not-inc,42402,doctorate,Married-civ-spouse,Prof-specialty,White,Male,45300.26317784824,30,United-States,0.0
999,Self-emp-inc,114580,doctorate,Married-civ-spouse,Exec-managerial,White,Female,0.0,55,United-States,0.0
36,Private,346478,Bachelors,Married-civ-spouse,Sales,White,Male,17660.41266395932,45,United-States,0.0
38,Private,187870,doctorate,Married-civ-spouse,Prof-specialty,White,Male,195444.01535312075,90,United-States,0.0
54,Private,35576,College,Married-civ-spouse,Sales,White,Male,32106.397216141508,50,United-States,0.0
50,Private,102346,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,23336.15319459614,20,United-States,0.0
47,Private,148995,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,60,United-States,0.0
47,Self-emp-inc,102308,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,45,United-States,0.0
67,Private,105252,Bachelors,Widowed,Exec-managerial,White,Male,0.0,40,United-States,0.0
67,Self-emp-inc,106175,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,75,United-States,0.0
72,Self-emp-not-inc,52138,primary school,Married-civ-spouse,Prof-specialty,White,Male,0.0,25,United-States,0.0
72,?,118902,primary school,Married-civ-spouse,?,White,Male,0.0,6,United-States,0.0
46,Self-emp-inc,191978,Masters,Married-civ-spouse,Exec-managerial,White,Male,0.0,50,United-States,0.0
78,Self-emp-inc,188044,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,40,United-States,0.0
71,Self-emp-inc,66624,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,60,United-States,0.0
83,Self-emp-inc,153183,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,105,United-States,0.0
68,Private,211287,Masters,Married-civ-spouse,Exec-managerial,White,Male,0.0,-1,United-States,0.0
999,Private,181655,Doctorate,Married-civ-spouse,Adm-clerical,White,Male,0.0,45,United-States,1.0
68,State-gov,235882,primary school,Married-civ-spouse,Prof-specialty,White,Male,0.0,60,United-States,0.0
49,Self-emp-inc,158685,Highschool,Married-civ-spouse,Adm-clerical,White,Female,0.0,40,United-States,0.0
36,Private,370767,Highschool,Married-civ-spouse,Prof-specialty,White,Male,0.0,60,United-States,1.0
70,Self-emp-not-inc,155141,Bachelors,Married-civ-spouse,Craft-repair,White,Male,0.0,12,United-States,0.0
27,Private,156516,College,Married-civ-spouse,Adm-clerical,Black,Female,57738.71748040387,20,United-States,1.0
35,Local-gov,177305,College,Married-civ-spouse,Exec-managerial,White,Male,42079.03271370203,40,United-States,1.0
23,Private,162945,Highschool,Married-civ-spouse,Sales,White,Male,71794.17106576091,40,United-States,1.0
999,Private,177408,Highschool,Married-civ-spouse,Exec-managerial,White,Male,0.0,26,United-States,0.0
66,Self-emp-not-inc,427422,primary school,Married-civ-spouse,Sales,White,Male,0.0,-1,United-States,0.0
71,Private,152307,Highschool,Married-civ-spouse,Exec-managerial,White,Male,4409.243811417361,45,United-States,0.0
68,Private,218637,College,Married-civ-spouse,Sales,White,Male,0.0,55,United-States,0.0
68,State-gov,202699,Masters,Married-civ-spouse,Prof-specialty,White,Male,72093.54659536052,42,?,0.0
65,?,240857,Bachelors,Married-civ-spouse,?,White,Male,0.0,40,United-States,0.0
52,Private,222405,Highschool,Married-civ-spouse,Sales,Black,Male,41726.95336711825,40,United-States,1.0
40,Self-emp-inc,110862,doc,Married-civ-spouse,Craft-repair,White,Male,0.0,50,United-States,1.0
68,?,257269,Bachelors,Married-civ-spouse,?,White,Male,0.0,35,United-States,0.0
999,Private,377931,College,Married-civ-spouse,Exec-managerial,White,Male,0.0,48,United-States,1.0
35,Private,192923,Highschool,Married-civ-spouse,Craft-repair,White,Male,0.0,40,United-States,1.0
70,Self-emp-inc,207938,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,50,United-States,0.0
61,Self-emp-not-inc,36671,Highschool,Married-civ-spouse,Farming-fishing,White,Male,0.0,50,United-States,1.0
65,Self-emp-inc,81413,Highschool,Married-civ-spouse,Farming-fishing,White,Male,0.0,65,United-States,1.0
46,Private,214955,primary school,Divorced,Craft-repair,White,Female,0.0,45,United-States,1.0
26,Local-gov,166295,Bachelors,Never-married,Prof-specialty,White,Male,0.0,55,United-States,1.0
59,Local-gov,147707,Highschool,Widowed,Farming-fishing,White,Male,0.0,40,United-States,1.0
61,Private,43554,primary school,Never-married,Handlers-cleaners,Black,Male,38402.95474941638,40,United-States,1.0
60,State-gov,358893,Bachelors,Divorced,Prof-specialty,White,Female,0.0,40,United-States,1.0
999,Self-emp-inc,141058,College,Divorced,Exec-managerial,White,Male,0.0,50,United-States,1.0
34,Private,25322,Bachelors,Separated,Machine-op-inspct,Asian-Pac-Islander,Male,0.0,40,?,1.0
25,Private,77071,Bachelors,Never-married,Prof-specialty,White,Female,0.0,35,United-States,1.0
55,Private,158702,College,Never-married,Adm-clerical,Black,Female,0.0,45,?,1.0
59,Local-gov,171328,Highschool,Separated,Armed-Forces,Black,Female,0.0,40,United-States,1.0
999,State-gov,381789,College,Separated,Exec-managerial,White,Male,7572.133234460115,40,United-States,1.0
43,?,152569,Doctorate,Widowed,?,White,Female,0.0,36,United-States,1.0
56,Self-emp-not-inc,346635,Masters,Divorced,Sales,White,Female,0.0,60,United-States,1.0
41,Private,162140,Highschool,Divorced,Craft-repair,White,Male,0.0,40,United-States,1.0
42,Private,191765,Highschool,Never-married,Adm-clerical,Black,Female,0.0,40,Trinadad&Tobago,1.0
28,Private,251905,doctorate,Never-married,Prof-specialty,White,Male,0.0,40,Canada,1.0
40,Self-emp-not-inc,33310,doctorate,Divorced,Other-service,White,Female,0.0,35,United-States,1.0
69,Private,228921,Bachelors,Widowed,Prof-specialty,White,Male,72688.77542997018,-1,United-States,0.0
66,Local-gov,36364,Highschool,Married-civ-spouse,Craft-repair,White,Male,0.0,40,United-States,1.0
69,Private,124930,primary school,Married-civ-spouse,Machine-op-inspct,White,Male,0.0,40,United-States,1.0
55,Local-gov,176046,Masters,Married-civ-spouse,Prof-specialty,White,Female,0.0,40,United-States,1.0
57,Federal-gov,370890,Highschool,Never-married,Adm-clerical,White,Male,0.0,40,United-States,1.0
20,Self-emp-not-inc,157145,College,Never-married,Farming-fishing,White,Male,19907.938879210524,10,United-States,1.0
33,Private,288825,Highschool,Divorced,Craft-repair,White,Male,0.0,84,United-States,1.0
30,Self-emp-not-inc,257295,College,Never-married,Sales,Asian-Pac-Islander,Male,14873.742509330947,40,South,1.0
40,Private,287983,Bachelors,Never-married,Tech-support,Asian-Pac-Islander,Female,0.0,48,Philippines,1.0
38,Private,101978,College,Separated,Machine-op-inspct,White,Male,0.0,55,United-States,0.0
46,State-gov,192779,doc,Divorced,Adm-clerical,White,Male,0.0,38,United-States,0.0
29,Private,135296,Bachelors,Never-married,Exec-managerial,White,Female,0.0,45,United-States,0.0
57,Federal-gov,199114,Bachelors,Never-married,Adm-clerical,White,Male,0.0,40,United-States,1.0
39,Private,156897,Highschool,Never-married,Craft-repair,White,Male,14391.054792176557,42,United-States,0.0
47,Private,138107,Bachelors,Divorced,Exec-managerial,White,Male,20533.72012859316,40,United-States,0.0
999,Private,279833,Bachelors,Never-married,Exec-managerial,White,Male,0.0,45,United-States,0.0
27,Self-emp-not-inc,208577,Highschool,Never-married,Craft-repair,White,Male,37615.2427337512,50,United-States,1.0
23,Private,102942,Bachelors,Never-married,Prof-specialty,White,Female,0.0,40,United-States,0.0
34,Private,36385,Masters,Never-married,Prof-specialty,White,Male,0.0,50,United-States,1.0
33,Private,176185,primary school,Divorced,Craft-repair,White,Male,16603.021152948168,42,United-States,1.0
999,Local-gov,162613,Masters,Never-married,Prof-specialty,White,Female,95928.71486552358,60,United-States,1.0
57,Private,121362,College,Widowed,Adm-clerical,White,Female,37145.17767995024,38,United-States,0.0
36,Private,145933,Highschool,Never-married,Exec-managerial,White,Male,0.0,70,United-States,1.0
44,Federal-gov,29591,Bachelors,Divorced,Tech-support,White,Male,0.0,40,United-States,0.0
49,State-gov,269417,primary school,Never-married,Exec-managerial,White,Female,18248.249259729382,50,United-States,0.0
44,Self-emp-inc,178510,College,Never-married,Sales,White,Male,0.0,60,United-States,1.0
55,Private,41108,College,Widowed,Farming-fishing,White,Male,17951.635012946183,62,United-States,0.0
45,Private,187901,Highschool,Divorced,Farming-fishing,White,Male,0.0,44,United-States,0.0
999,Private,175070,Highschool,Divorced,Exec-managerial,White,Female,0.0,40,United-States,0.0
31,Private,263561,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,45,United-States,0.0
55,Local-gov,99131,Highschool,Married-civ-spouse,Prof-specialty,White,Female,34487.62998773059,40,United-States,0.0
999,Self-emp-not-inc,143833,College,Married-civ-spouse,Exec-managerial,White,Male,0.0,40,United-States,0.0
70,Self-emp-not-inc,124449,Masters,Married-civ-spouse,Exec-managerial,White,Male,0.0,8,United-States,0.0
999,Private,336007,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0.0,40,United-States,0.0
72,Self-emp-not-inc,285408,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,28,United-States,0.0
31,Private,327825,Highschool,Separated,Machine-op-inspct,White,Female,0.0,40,United-States,1.0
28,Private,129460,primary school,Widowed,Adm-clerical,White,Female,0.0,35,United-States,1.0
23,Self-emp-not-inc,258298,Bachelors,Never-married,Adm-clerical,White,Male,43063.79379785472,40,United-States,0.0
49,Local-gov,102359,primary school,Widowed,Handlers-cleaners,White,Male,0.0,40,United-States,0.0
27,Local-gov,92431,College,Never-married,Armed-Forces,White,Male,15121.805481369738,40,United-States,0.0
90,Private,51744,Highschool,Never-married,Other-service,Black,Male,27718.42203268994,40,United-States,1.0
68,Private,166149,Highschool,Widowed,Adm-clerical,White,Female,155622.75614968353,30,United-States,1.0
65,Private,149811,Highschool,Divorced,Adm-clerical,White,Female,0.0,59,Canada,1.0
65,unknown,143118,Highschool,Widowed,?,White,Female,0.0,10,United-States,1.0
999,Private,118363,Bachelors,Divorced,Exec-managerial,White,Female,0.0,5,United-States,1.0
66,Local-gov,362165,Bachelors,Widowed,Prof-specialty,Black,Female,0.0,25,United-States,1.0
24,Private,379066,College,Never-married,Adm-clerical,White,Male,0.0,24,United-States,1.0
44,Self-emp-not-inc,171424,College,Divorced,Machine-op-inspct,White,Male,0.0,35,United-States,1.0
35,Private,108293,College,Never-married,Adm-clerical,White,Female,0.0,40,United-States,1.0
20,Private,107801,doc,Never-married,Other-service,White,Female,0.0,18,United-States,1.0
38,Private,126675,Highschool,Divorced,Craft-repair,White,Male,0.0,40,United-States,1.0
39,Private,155603,College,Never-married,Other-service,Black,Female,0.0,40,United-States,1.0
32,Private,27882,College,Never-married,Machine-op-inspct,White,Female,0.0,40,Holand-Netherlands,1.0
42,Private,242564,primary school,Never-married,Handlers-cleaners,Black,Male,0.0,40,United-States,1.0
63,?,234083,Highschool,Divorced,?,White,Female,0.0,40,United-States,1.0
42,Self-emp-inc,23510,Masters,Divorced,Exec-managerial,Asian-Pac-Islander,Male,0.0,60,India,0.0
64,Private,181232,primary school,Married-civ-spouse,Craft-repair,White,Male,0.0,40,United-States,1.0
28,Private,166481,primary school,Married-civ-spouse,Handlers-cleaners,Other,Male,34396.551784575575,40,Puerto-Rico,1.0
999,Self-emp-inc,139916,Doctorate,Married-civ-spouse,Sales,Other,Male,0.0,84,Mexico,1.0
41,Self-emp-not-inc,144594,primary school,Married-civ-spouse,Craft-repair,White,Male,147380.48769294168,40,United-States,1.0
999,Self-emp-not-inc,266707,primary school,Married-civ-spouse,Transport-moving,White,Male,601.7679733479753,18,United-States,1.0
59,State-gov,303176,College,Married-civ-spouse,Exec-managerial,White,Male,0.0,40,United-States,1.0
34,Self-emp-not-inc,56460,Highschool,Married-civ-spouse,Farming-fishing,White,Female,0.0,12,United-States,1.0
45,Private,167523,Highschool,Married-civ-spouse,Transport-moving,White,Male,136528.8762689647,45,United-States,1.0
29,Private,119004,Highschool,Married-civ-spouse,Adm-clerical,White,Female,0.0,40,United-States,1.0
47,Private,175925,primary school,Married-civ-spouse,Sales,White,Male,0.0,52,United-States,1.0
40,Private,212847,College,Married-civ-spouse,Machine-op-inspct,White,Male,0.0,40,United-States,1.0
47,Self-emp-not-inc,191175,primary school,Married-civ-spouse,Sales,White,Male,0.0,50,Mexico,1.0
63,?,83043,Bachelors,Married-civ-spouse,?,White,Male,0.0,45,United-States,1.0
41,Self-emp-not-inc,170214,Highschool,Married-civ-spouse,Handlers-cleaners,White,Male,33908.703037529776,40,United-States,1.0
999,Private,180714,College,Married-civ-spouse,Transport-moving,Black,Male,0.0,40,United-States,1.0
66,?,177351,Bachelors,Married-civ-spouse,?,White,Male,0.0,40,United-States,0.0
65,Self-emp-not-inc,111483,College,Married-civ-spouse,Exec-managerial,White,Male,0.0,10,United-States,0.0
70,Private,282642,Highschool,Married-civ-spouse,Handlers-cleaners,White,Male,0.0,40,United-States,0.0
75,Self-emp-not-inc,309955,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,50,United-States,0.0
65,State-gov,215908,Highschool,Married-civ-spouse,Adm-clerical,White,Male,0.0,40,United-States,0.0
65,Federal-gov,23494,College,Married-civ-spouse,Exec-managerial,Black,Male,151833.16237350943,40,United-States,0.0
73,Private,147551,College,Married-civ-spouse,Prof-specialty,White,Male,0.0,50,United-States,0.0
60,?,141221,Bachelors,Married-civ-spouse,?,Asian-Pac-Islander,Male,0.0,25,South,1.0
68,Self-emp-not-inc,116903,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,40,United-States,1.0
74,Self-emp-not-inc,119129,Highschool,Married-civ-spouse,Sales,White,Male,0.0,20,United-States,1.0
43,Private,143582,primary school,Married-civ-spouse,Machine-op-inspct,Asian-Pac-Islander,Female,8332.328314943736,72,?,1.0
19,Self-emp-not-inc,342384,primary school,Married-civ-spouse,Craft-repair,White,Male,3119.2306746269833,55,United-States,1.0
37,Self-emp-not-inc,68899,Highschool,Married-civ-spouse,Craft-repair,White,Male,0.0,40,United-States,1.0
45,Federal-gov,207107,doc,Divorced,Adm-clerical,Asian-Pac-Islander,Male,18179.978669962813,40,Philippines,1.0
64,Private,149044,Masters,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,0.0,60,China,1.0
30,Private,148524,Highschool,Married-civ-spouse,Transport-moving,White,Male,0.0,40,United-States,1.0
51,Self-emp-not-inc,268639,College,Married-civ-spouse,Prof-specialty,White,Female,12724.889033818323,60,Canada,1.0
999,Private,272019,primary school,Married-civ-spouse,Craft-repair,White,Male,0.0,40,United-States,1.0
29,Private,239753,Highschool,Married-civ-spouse,Adm-clerical,White,Female,0.0,20,United-States,1.0
34,Private,199864,College,Married-civ-spouse,Adm-clerical,White,Female,0.0,40,United-States,1.0
41,Private,125831,Highschool,Married-civ-spouse,Craft-repair,White,Male,25424.91726082819,60,United-States,1.0
35,Private,67728,College,Married-civ-spouse,Craft-repair,White,Male,0.0,45,United-States,1.0
26,Private,115717,College,Married-civ-spouse,Adm-clerical,White,Male,0.0,40,United-States,1.0
54,Private,172281,Highschool,Married-civ-spouse,Transport-moving,White,Male,0.0,50,United-States,1.0
52,Local-gov,305053,Highschool,Married-civ-spouse,Craft-repair,White,Male,0.0,40,United-States,1.0
999,Self-emp-not-inc,105010,Highschool,Married-civ-spouse,Farming-fishing,White,Male,46025.45858207338,20,United-States,1.0
31,Private,291052,College,Married-civ-spouse,Adm-clerical,White,Male,0.0,40,United-States,1.0
38,Federal-gov,248919,Highschool,Married-civ-spouse,Transport-moving,White,Male,0.0,40,United-States,1.0
30,Private,84119,College,Married-civ-spouse,Craft-repair,White,Male,0.0,40,United-States,1.0
34,Local-gov,105540,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0.0,40,United-States,1.0
31,Private,161765,College,Married-civ-spouse,Sales,White,Male,0.0,57,United-States,1.0
52,Private,195635,Highschool,Married-civ-spouse,Machine-op-inspct,White,Male,0.0,38,United-States,1.0
54,Private,816750,Highschool,Married-civ-spouse,Craft-repair,White,Male,0.0,40,United-States,1.0
38,Private,160192,Highschool,Married-civ-spouse,Craft-repair,White,Male,0.0,44,United-States,1.0
39,Private,136081,Highschool,Married-civ-spouse,Machine-op-inspct,White,Male,4992.64683126251,40,United-States,1.0
29,Private,244473,Doctorate,Married-civ-spouse,Tech-support,White,Male,0.0,40,United-States,1.0
45,Private,187033,Highschool,Married-civ-spouse,Craft-repair,White,Male,0.0,40,United-States,1.0
34,Private,265807,Highschool,Married-civ-spouse,Transport-moving,White,Male,78833.07357217964,55,United-States,1.0
38,Private,154410,Highschool,Married-civ-spouse,Craft-repair,White,Male,0.0,40,Poland,1.0
39,Private,314007,primary school,Married-civ-spouse,Craft-repair,White,Male,164029.04084274956,40,United-States,1.0
61,Private,179743,Highschool,Married-civ-spouse,Craft-repair,White,Male,183986.61548890918,20,United-States,1.0
43,Private,117037,primary school,Married-civ-spouse,Transport-moving,White,Male,0.0,40,United-States,1.0
35,Private,40135,College,Married-civ-spouse,Handlers-cleaners,White,Male,19669.999651552367,40,United-States,1.0
46,Private,315423,College,Married-civ-spouse,Sales,White,Male,2534.670314412534,50,United-States,1.0
38,Private,35429,Highschool,Married-civ-spouse,Handlers-cleaners,White,Male,0.0,40,United-States,1.0
42,Self-emp-not-inc,120837,Highschool,Married-civ-spouse,Craft-repair,White,Male,96757.8462230306,48,United-States,1.0
34,Private,90614,doc,Married-civ-spouse,Tech-support,White,Male,0.0,10,United-States,1.0
