age,workclass,final_pop_weight,education,marital_status,occupation,race,sex,capital_gain,work_hours_per_week,native_country,income
53.0,Private,149650,Highschool,Never-married,Sales,White,Male,0.0,48,United-States,0.0
51.0,Private,197163,doctorate,Never-married,Prof-specialty,White,Female,0.0,50,United-States,0.0
37.0,Self-emp-not-inc,137527,primary school,Never-married,Prof-specialty,White,Female,0.0,60,United-States,0.0
54.0,Private,161691,Masters,Divorced,Prof-specialty,White,Female,0.0,40,United-States,0.0
44.0,Private,326232,Bachelors,Divorced,Exec-managerial,White,Male,0.0,50,United-States,0.0
43.0,Private,115806,Masters,Divorced,Exec-managerial,White,Female,0.0,40,United-States,0.0
51.0,Private,115066,College,Divorced,Adm-clerical,White,Female,0.0,40,United-States,0.0
43.0,Private,289669,Masters,Divorced,Prof-specialty,White,Female,0.0,40,United-States,0.0
71.0,,100820,Highschool,Married-civ-spouse,?,White,Male,0.0,15,United-States,1.0
48.0,Private,121253,Bachelors,Separated,Sales,White,Female,71498.12598127776,70,United-States,0.0
71.0,Private,110380,Highschool,Married-civ-spouse,Sales,White,Male,0.0,52,United-States,1.0
73.0,Self-emp-not-inc,233882,Highschool,Married-civ-spouse,Farming-fishing,Asian-Pac-Islander,Male,0.0,40,Vietnam,1.0
68.0,,192052,College,Married-civ-spouse,?,White,Female,0.0,40,United-States,1.0
67.0,,174995,College,Married-civ-spouse,?,White,Male,0.0,40,United-States,1.0
40.0,Self-emp-not-inc,335549,doctorate,Never-married,Prof-specialty,White,Male,34385.06975678836,45,United-States,0.0
,Private,237729,Highschool,Widowed,Sales,White,Female,38173.706579814,72,United-States,0.0
51.0,State-gov,68898,Doctorate,Divorced,Tech-support,White,Male,1769.8865914934286,39,United-States,0.0
42.0,Private,107276,College,Never-married,Exec-managerial,White,Female,0.0,40,United-States,0.0
39.0,Private,141584,Masters,Never-married,Sales,White,Male,0.0,45,United-States,0.0
32.0,Private,207668,Bachelors,Never-married,Exec-managerial,White,Male,0.0,50,United-States,0.0
53.0,Private,313243,College,Separated,Craft-repair,White,Male,0.0,45,United-States,0.0
40.0,Local-gov,147372,College,Never-married,Armed-Forces,White,Male,123628.0401365722,40,United-States,0.0
38.0,Private,237608,Bachelors,Never-married,Sales,White,Female,170360.5603680605,45,United-States,0.0
33.0,Private,194901,Doctorate,Separated,Craft-repair,White,Male,15238.515851435985,42,United-States,0.0
43.0,Private,155106,doc,Divorced,Craft-repair,White,Male,0.0,-1,United-States,0.0
50.0,Self-emp-inc,121441,primary school,Never-married,Exec-managerial,White,Male,0.0,40,United-States,0.0
44.0,Private,162028,College,Married-civ-spouse,Adm-clerical,White,Female,0.0,6,United-States,0.0
51.0,Self-emp-not-inc,160724,Bachelors,Married-civ-spouse,Sales,Asian-Pac-Islander,Male,0.0,-1,China,0.0
41.0,Private,132222,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,40,United-States,0.0
60.0,Self-emp-inc,226355,Doctorate,Married-civ-spouse,Machine-op-inspct,White,Male,2681.017698476243,70,?,0.0
37.0,Private,329980,Masters,Married-civ-spouse,Exec-managerial,White,Male,46712.86351066109,60,United-States,0.0
55.0,Self-emp-inc,124137,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,35,Greece,0.0
39.0,Self-emp-inc,329980,Bachelors,Married-civ-spouse,Sales,White,Male,0.0,60,United-States,0.0
42.0,Self-emp-inc,187702,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,60,United-States,0.0
49.0,Private,199029,Bachelors,Married-civ-spouse,Sales,White,Male,0.0,55,United-States,0.0
47.0,Self-emp-not-inc,145290,Highschool,Married-civ-spouse,Exec-managerial,White,Male,0.0,50,United-States,0.0
41.0,Local-gov,297248,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,45,United-States,0.0
55.0,Self-emp-inc,227856,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,50,United-States,0.0
39.0,Private,179731,Masters,Married-civ-spouse,Exec-managerial,White,Female,0.0,65,United-States,0.0
42.0,Private,154374,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,60,United-States,0.0
41.0,,27187,Doctorate,Married-civ-spouse,?,White,Male,0.0,12,United-States,0.0
46.0,Private,326857,Masters,Married-civ-spouse,Sales,White,Male,0.0,65,United-States,0.0
40.0,Private,160369,Masters,Married-civ-spouse,Exec-managerial,White,Male,0.0,45,United-States,0.0
32.0,Private,396745,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0.0,48,United-States,0.0
41.0,Self-emp-inc,151089,College,Married-civ-spouse,Exec-managerial,White,Male,0.0,55,United-States,0.0
60.0,Self-emp-inc,336188,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,80,United-States,0.0
31.0,Private,279015,Masters,Married-civ-spouse,Exec-managerial,White,Male,51310.671121256775,70,Taiwan,0.0
58.0,Self-emp-not-inc,43221,College,Married-civ-spouse,Farming-fishing,White,Male,0.0,40,United-States,0.0
37.0,Self-emp-inc,30529,Bachelors,Married-civ-spouse,Sales,White,Male,0.0,50,United-States,0.0
44.0,Self-emp-not-inc,201742,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,50,United-States,0.0
39.0,Self-emp-not-inc,218490,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,50,?,0.0
43.0,Federal-gov,156996,doctorate,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,0.0,55,?,0.0
55.0,Self-emp-inc,298449,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,50,United-States,0.0
44.0,Self-emp-inc,191712,Masters,Married-civ-spouse,Prof-specialty,White,Male,0.0,55,United-States,0.0
39.0,Private,198654,doctorate,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,112786.23095750842,67,India,0.0
46.0,Self-emp-not-inc,102308,Bachelors,Married-civ-spouse,Sales,White,Male,0.0,40,United-States,0.0
39.0,Private,348521,College,Married-civ-spouse,Farming-fishing,White,Male,0.0,99,United-States,0.0
62.0,Self-emp-inc,56248,Bachelors,Married-civ-spouse,Farming-fishing,White,Male,0.0,60,United-States,0.0
31.0,Self-emp-not-inc,252752,Highschool,Married-civ-spouse,Other-service,White,Female,0.0,40,United-States,0.0
46.0,Private,192963,Bachelors,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Male,0.0,35,Philippines,0.0
46.0,Self-emp-not-inc,198759,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,80,United-States,0.0
39.0,Self-emp-inc,143123,Doctorate,Married-civ-spouse,Craft-repair,White,Male,36020.620819230484,40,United-States,0.0
39.0,Private,237713,doctorate,Married-civ-spouse,Sales,White,Male,0.0,99,United-States,0.0
59.0,Private,81929,primary school,Married-civ-spouse,Prof-specialty,White,Male,0.0,45,United-States,0.0
50.0,Self-emp-inc,167793,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,60,United-States,0.0
46.0,Private,456062,primary school,Married-civ-spouse,Prof-specialty,White,Male,0.0,55,United-States,0.0
,Self-emp-not-inc,105478,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,41458.13846933081,40,United-States,0.0
50.0,Self-emp-not-inc,42402,doctorate,Married-civ-spouse,Prof-specialty,White,Male,64940.52974881101,30,United-States,0.0
,Self-emp-inc,114580,doctorate,Married-civ-spouse,Exec-managerial,White,Female,0.0,55,United-States,0.0
36.0,Private,346478,Bachelors,Married-civ-spouse,Sales,White,Male,34188.74810685073,45,United-States,0.0
38.0,Private,187870,doctorate,Married-civ-spouse,Prof-specialty,White,Male,132049.7983925638,90,United-States,0.0
54.0,Private,35576,College,Married-civ-spouse,Sales,White,Male,75018.46648055891,50,United-States,0.0
50.0,Private,102346,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,47095.41592595476,20,United-States,0.0
47.0,Private,148995,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,60,United-States,0.0
47.0,Self-emp-inc,102308,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,45,United-States,0.0
67.0,Private,105252,Bachelors,Widowed,Exec-managerial,White,Male,0.0,40,United-States,0.0
67.0,Self-emp-inc,106175,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,75,United-States,0.0
72.0,Self-emp-not-inc,52138,primary school,Married-civ-spouse,Prof-specialty,White,Male,0.0,25,United-States,0.0
72.0,,118902,primary school,Married-civ-spouse,?,White,Male,0.0,6,United-States,0.0
46.0,Self-emp-inc,191978,Masters,Married-civ-spouse,Exec-managerial,White,Male,0.0,50,United-States,0.0
78.0,Self-emp-inc,188044,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,40,United-States,0.0
71.0,Self-emp-inc,66624,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,60,United-States,0.0
83.0,Self-emp-inc,153183,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,105,United-States,0.0
68.0,Private,211287,Masters,Married-civ-spouse,Exec-managerial,White,Male,0.0,-1,United-States,0.0
,Private,181655,Doctorate,Married-civ-spouse,Adm-clerical,White,Male,0.0,45,United-States,1.0
68.0,State-gov,235882,primary school,Married-civ-spouse,Prof-specialty,White,Male,0.0,60,United-States,0.0
49.0,Self-emp-inc,158685,Highschool,Married-civ-spouse,Adm-clerical,White,Female,0.0,40,United-States,0.0
36.0,Private,370767,Highschool,Married-civ-spouse,Prof-specialty,White,Male,0.0,60,United-States,1.0
70.0,Self-emp-not-inc,155141,Bachelors,Married-civ-spouse,Craft-repair,White,Male,0.0,12,United-States,0.0
27.0,Private,156516,College,Married-civ-spouse,Adm-clerical,Black,Female,8251.29842390735,20,United-States,1.0
35.0,Local-gov,177305,College,Married-civ-spouse,Exec-managerial,White,Male,28208.32310461786,40,United-States,1.0
23.0,Private,162945,Highschool,Married-civ-spouse,Sales,White,Male,44201.84884560541,40,United-States,1.0
,Private,177408,Highschool,Married-civ-spouse,Exec-managerial,White,Male,0.0,26,United-States,0.0
66.0,Self-emp-not-inc,427422,primary school,Married-civ-spouse,Sales,White,Male,0.0,-1,United-States,0.0
71.0,Private,152307,Highschool,Married-civ-spouse,Exec-managerial,White,Male,4162.737417114577,45,United-States,0.0
68.0,Private,218637,College,Married-civ-spouse,Sales,White,Male,0.0,55,United-States,0.0
68.0,State-gov,202699,Masters,Married-civ-spouse,Prof-specialty,White,Male,4377.924592792759,42,?,0.0
65.0,,240857,Bachelors,Married-civ-spouse,?,White,Male,0.0,40,United-States,0.0
52.0,Private,222405,Highschool,Married-civ-spouse,Sales,Black,Male,132586.16472341906,40,United-States,1.0
40.0,Self-emp-inc,110862,doc,Married-civ-spouse,Craft-repair,White,Male,0.0,50,United-States,1.0
68.0,,257269,Bachelors,Married-civ-spouse,?,White,Male,0.0,35,United-States,0.0
,Private,377931,College,Married-civ-spouse,Exec-managerial,White,Male,0.0,48,United-States,1.0
35.0,Private,192923,Highschool,Married-civ-spouse,Craft-repair,White,Male,0.0,40,United-States,1.0
70.0,Self-emp-inc,207938,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,50,United-States,0.0
61.0,Self-emp-not-inc,36671,Highschool,Married-civ-spouse,Farming-fishing,White,Male,0.0,50,United-States,1.0
65.0,Self-emp-inc,81413,Highschool,Married-civ-spouse,Farming-fishing,White,Male,0.0,65,United-States,1.0
46.0,Private,214955,primary school,Divorced,Craft-repair,White,Female,0.0,45,United-States,1.0
26.0,Local-gov,166295,Bachelors,Never-married,Prof-specialty,White,Male,0.0,55,United-States,1.0
59.0,Local-gov,147707,Highschool,Widowed,Farming-fishing,White,Male,0.0,40,United-States,1.0
61.0,Private,43554,primary school,Never-married,Handlers-cleaners,Black,Male,54650.75698866376,40,United-States,1.0
60.0,State-gov,358893,Bachelors,Divorced,Prof-specialty,White,Female,0.0,40,United-States,1.0
,Self-emp-inc,141058,College,Divorced,Exec-managerial,White,Male,0.0,50,United-States,1.0
34.0,Private,25322,Bachelors,Separated,Machine-op-inspct,Asian-Pac-Islander,Male,0.0,40,?,1.0
25.0,Private,77071,Bachelors,Never-married,Prof-specialty,White,Female,0.0,35,United-States,1.0
55.0,Private,158702,College,Never-married,Adm-clerical,Black,Female,0.0,45,?,1.0
59.0,Local-gov,171328,Highschool,Separated,Armed-Forces,Black,Female,0.0,40,United-States,1.0
,State-gov,381789,College,Separated,Exec-managerial,White,Male,126149.43081344616,40,United-States,1.0
43.0,,152569,Doctorate,Widowed,?,White,Female,0.0,36,United-States,1.0
56.0,Self-emp-not-inc,346635,Masters,Divorced,Sales,White,Female,0.0,60,United-States,1.0
41.0,Private,162140,Highschool,Divorced,Craft-repair,White,Male,0.0,40,United-States,1.0
42.0,Private,191765,Highschool,Never-married,Adm-clerical,Black,Female,0.0,40,Trinadad&Tobago,1.0
28.0,Private,251905,doctorate,Never-married,Prof-specialty,White,Male,0.0,40,Canada,1.0
40.0,Self-emp-not-inc,33310,doctorate,Divorced,Other-service,White,Female,0.0,35,United-States,1.0
69.0,Private,228921,Bachelors,Widowed,Prof-specialty,White,Male,87860.76090556216,-1,United-States,0.0
66.0,Local-gov,36364,Highschool,Married-civ-spouse,Craft-repair,White,Male,0.0,40,United-States,1.0
69.0,Private,124930,primary school,Married-civ-spouse,Machine-op-inspct,White,Male,0.0,40,United-States,1.0
55.0,Local-gov,176046,Masters,Married-civ-spouse,Prof-specialty,White,Female,0.0,40,United-States,1.0
57.0,Federal-gov,370890,Highschool,Never-married,Adm-clerical,White,Male,0.0,40,United-States,1.0
20.0,Self-emp-not-inc,157145,College,Never-married,Farming-fishing,White,Male,135920.4997106095,10,United-States,1.0
33.0,Private,288825,Highschool,Divorced,Craft-repair,White,Male,0.0,84,United-States,1.0
30.0,Self-emp-not-inc,257295,College,Never-married,Sales,Asian-Pac-Islander,Male,83443.98322446998,40,South,1.0
40.0,Private,287983,Bachelors,Never-married,Tech-support,Asian-Pac-Islander,Female,0.0,48,Philippines,1.0
38.0,Private,101978,College,Separated,Machine-op-inspct,White,Male,0.0,55,United-States,0.0
46.0,State-gov,192779,doc,Divorced,Adm-clerical,White,Male,0.0,38,United-States,0.0
29.0,Private,135296,Bachelors,Never-married,Exec-managerial,White,Female,0.0,45,United-States,0.0
57.0,Federal-gov,199114,Bachelors,Never-married,Adm-clerical,White,Male,0.0,40,United-States,1.0
39.0,Private,156897,Highschool,Never-married,Craft-repair,White,Male,3157.0893405081583,42,United-States,0.0
47.0,Private,138107,Bachelors,Divorced,Exec-managerial,White,Male,3420.9366936141,40,United-States,0.0
,Private,279833,Bachelors,Never-married,Exec-managerial,White,Male,0.0,45,United-States,0.0
27.0,Self-emp-not-inc,208577,Highschool,Never-married,Craft-repair,White,Male,242559.8025845645,50,United-States,1.0
23.0,Private,102942,Bachelors,Never-married,Prof-specialty,White,Female,0.0,40,United-States,0.0
34.0,Private,36385,Masters,Never-married,Prof-specialty,White,Male,0.0,50,United-States,1.0
33.0,Private,176185,primary school,Divorced,Craft-repair,White,Male,189981.9737616537,42,United-States,1.0
,Local-gov,162613,Masters,Never-married,Prof-specialty,White,Female,69021.04069780752,60,United-States,1.0
57.0,Private,121362,College,Widowed,Adm-clerical,White,Female,77568.88500028785,38,United-States,0.0
36.0,Private,145933,Highschool,Never-married,Exec-managerial,White,Male,0.0,70,United-States,1.0
44.0,Federal-gov,29591,Bachelors,Divorced,Tech-support,White,Male,0.0,40,United-States,0.0
49.0,State-gov,269417,primary school,Never-married,Exec-managerial,White,Female,28058.242444425618,50,United-States,0.0
44.0,Self-emp-inc,178510,College,Never-married,Sales,White,Male,0.0,60,United-States,1.0
55.0,Private,41108,College,Widowed,Farming-fishing,White,Male,10408.63066240407,62,United-States,0.0
45.0,Private,187901,Highschool,Divorced,Farming-fishing,White,Male,0.0,44,United-States,0.0
,Private,175070,Highschool,Divorced,Exec-managerial,White,Female,0.0,40,United-States,0.0
31.0,Private,263561,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0.0,45,United-States,0.0
55.0,Local-gov,99131,Highschool,Married-civ-spouse,Prof-specialty,White,Female,184197.85590424328,40,United-States,0.0
,Self-emp-not-inc,143833,College,Married-civ-spouse,Exec-managerial,White,Male,0.0,40,United-States,0.0
70.0,Self-emp-not-inc,124449,Masters,Married-civ-spouse,Exec-managerial,White,Male,0.0,8,United-States,0.0
,Private,336007,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0.0,40,United-States,0.0
72.0,Self-emp-not-inc,285408,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,28,United-States,0.0
31.0,Private,327825,Highschool,Separated,Machine-op-inspct,White,Female,0.0,40,United-States,1.0
28.0,Private,129460,primary school,Widowed,Adm-clerical,White,Female,0.0,35,United-States,1.0
23.0,Self-emp-not-inc,258298,Bachelors,Never-married,Adm-clerical,White,Male,12023.873184648644,40,United-States,0.0
49.0,Local-gov,102359,primary school,Widowed,Handlers-cleaners,White,Male,0.0,40,United-States,0.0
27.0,Local-gov,92431,College,Never-married,Armed-Forces,White,Male,25847.02582615908,40,United-States,0.0
90.0,Private,51744,Highschool,Never-married,Other-service,Black,Male,6464.135952776694,40,United-States,1.0
68.0,Private,166149,Highschool,Widowed,Adm-clerical,White,Female,159630.29265363078,30,United-States,1.0
65.0,Private,149811,Highschool,Divorced,Adm-clerical,White,Female,0.0,59,Canada,1.0
65.0,,143118,Highschool,Widowed,?,White,Female,0.0,10,United-States,1.0
,Private,118363,Bachelors,Divorced,Exec-managerial,White,Female,0.0,5,United-States,1.0
66.0,Local-gov,362165,Bachelors,Widowed,Prof-specialty,Black,Female,0.0,25,United-States,1.0
24.0,Private,379066,College,Never-married,Adm-clerical,White,Male,0.0,24,United-States,1.0
44.0,Self-emp-not-inc,171424,College,Divorced,Machine-op-inspct,White,Male,0.0,35,United-States,1.0
35.0,Private,108293,College,Never-married,Adm-clerical,White,Female,0.0,40,United-States,1.0
20.0,Private,107801,doc,Never-married,Other-service,White,Female,0.0,18,United-States,1.0
38.0,Private,126675,Highschool,Divorced,Craft-repair,White,Male,0.0,40,United-States,1.0
39.0,Private,155603,College,Never-married,Other-service,Black,Female,0.0,40,United-States,1.0
32.0,Private,27882,College,Never-married,Machine-op-inspct,White,Female,0.0,40,Holand-Netherlands,1.0
42.0,Private,242564,primary school,Never-married,Handlers-cleaners,Black,Male,0.0,40,United-States,1.0
63.0,,234083,Highschool,Divorced,?,White,Female,0.0,40,United-States,1.0
42.0,Self-emp-inc,23510,Masters,Divorced,Exec-managerial,Asian-Pac-Islander,Male,0.0,60,India,0.0
64.0,Private,181232,primary school,Married-civ-spouse,Craft-repair,White,Male,0.0,40,United-States,1.0
28.0,Private,166481,primary school,Married-civ-spouse,Handlers-cleaners,Other,Male,17989.465219927522,40,Puerto-Rico,1.0
,Self-emp-inc,139916,Doctorate,Married-civ-spouse,Sales,Other,Male,0.0,84,Mexico,1.0
41.0,Self-emp-not-inc,144594,primary school,Married-civ-spouse,Craft-repair,White,Male,16963.12425143422,40,United-States,1.0
,Self-emp-not-inc,266707,primary school,Married-civ-spouse,Transport-moving,White,Male,4995.417083603184,18,United-States,1.0
59.0,State-gov,303176,College,Married-civ-spouse,Exec-managerial,White,Male,0.0,40,United-States,1.0
34.0,Self-emp-not-inc,56460,Highschool,Married-civ-spouse,Farming-fishing,White,Female,0.0,12,United-States,1.0
45.0,Private,167523,Highschool,Married-civ-spouse,Transport-moving,White,Male,21345.58413529309,45,United-States,1.0
29.0,Private,119004,Highschool,Married-civ-spouse,Adm-clerical,White,Female,0.0,40,United-States,1.0
47.0,Private,175925,primary school,Married-civ-spouse,Sales,White,Male,0.0,52,United-States,1.0
40.0,Private,212847,College,Married-civ-spouse,Machine-op-inspct,White,Male,0.0,40,United-States,1.0
47.0,Self-emp-not-inc,191175,primary school,Married-civ-spouse,Sales,White,Male,0.0,50,Mexico,1.0
63.0,,83043,Bachelors,Married-civ-spouse,?,White,Male,0.0,45,United-States,1.0
41.0,Self-emp-not-inc,170214,Highschool,Married-civ-spouse,Handlers-cleaners,White,Male,3905.879170384332,40,United-States,1.0
,Private,180714,College,Married-civ-spouse,Transport-moving,Black,Male,0.0,40,United-States,1.0
66.0,,177351,Bachelors,Married-civ-spouse,?,White,Male,0.0,40,United-States,0.0
65.0,Self-emp-not-inc,111483,College,Married-civ-spouse,Exec-managerial,White,Male,0.0,10,United-States,0.0
70.0,Private,282642,Highschool,Married-civ-spouse,Handlers-cleaners,White,Male,0.0,40,United-States,0.0
75.0,Self-emp-not-inc,309955,doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,50,United-States,0.0
65.0,State-gov,215908,Highschool,Married-civ-spouse,Adm-clerical,White,Male,0.0,40,United-States,0.0
65.0,Federal-gov,23494,College,Married-civ-spouse,Exec-managerial,Black,Male,82697.99095838536,40,United-States,0.0
73.0,Private,147551,College,Married-civ-spouse,Prof-specialty,White,Male,0.0,50,United-States,0.0
60.0,,141221,Bachelors,Married-civ-spouse,?,Asian-Pac-Islander,Male,0.0,25,South,1.0
68.0,Self-emp-not-inc,116903,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,0.0,40,United-States,1.0
74.0,Self-emp-not-inc,119129,Highschool,Married-civ-spouse,Sales,White,Male,0.0,20,United-States,1.0
43.0,Private,143582,primary school,Married-civ-spouse,Machine-op-inspct,Asian-Pac-Islander,Female,69532.45891198586,72,?,1.0
19.0,Self-emp-not-inc,342384,primary school,Married-civ-spouse,Craft-repair,White,Male,11254.078936471997,55,United-States,1.0
37.0,Self-emp-not-inc,68899,Highschool,Married-civ-spouse,Craft-repair,White,Male,0.0,40,United-States,1.0
45.0,Federal-gov,207107,doc,Divorced,Adm-clerical,Asian-Pac-Islander,Male,9929.54127875356,40,Philippines,1.0
64.0,Private,149044,Masters,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,0.0,60,China,1.0
30.0,Private,148524,Highschool,Married-civ-spouse,Transport-moving,White,Male,0.0,40,United-States,1.0
51.0,Self-emp-not-inc,268639,College,Married-civ-spouse,Prof-specialty,White,Female,118137.07407675376,60,Canada,1.0
,Private,272019,primary school,Married-civ-spouse,Craft-repair,White,Male,0.0,40,United-States,1.0
29.0,Private,239753,Highschool,Married-civ-spouse,Adm-clerical,White,Female,0.0,20,United-States,1.0
34.0,Private,199864,College,Married-civ-spouse,Adm-clerical,White,Female,0.0,40,United-States,1.0
41.0,Private,125831,Highschool,Married-civ-spouse,Craft-repair,White,Male,3031.399629304028,60,United-States,1.0
35.0,Private,67728,College,Married-civ-spouse,Craft-repair,White,Male,0.0,45,United-States,1.0
26.0,Private,115717,College,Married-civ-spouse,Adm-clerical,White,Male,0.0,40,United-States,1.0
54.0,Private,172281,Highschool,Married-civ-spouse,Transport-moving,White,Male,0.0,50,United-States,1.0
52.0,Local-gov,305053,Highschool,Married-civ-spouse,Craft-repair,White,Male,0.0,40,United-States,1.0
,Self-emp-not-inc,105010,Highschool,Married-civ-spouse,Farming-fishing,White,Male,28844.09776286044,20,United-States,1.0
31.0,Private,291052,College,Married-civ-spouse,Adm-clerical,White,Male,0.0,40,United-States,1.0
38.0,Federal-gov,248919,Highschool,Married-civ-spouse,Transport-moving,White,Male,0.0,40,United-States,1.0
30.0,Private,84119,College,Married-civ-spouse,Craft-repair,White,Male,0.0,40,United-States,1.0
34.0,Local-gov,105540,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0.0,40,United-States,1.0
31.0,Private,161765,College,Married-civ-spouse,Sales,White,Male,0.0,57,United-States,1.0
52.0,Private,195635,Highschool,Married-civ-spouse,Machine-op-inspct,White,Male,0.0,38,United-States,1.0
54.0,Private,816750,Highschool,Married-civ-spouse,Craft-repair,White,Male,0.0,40,United-States,1.0
38.0,Private,160192,Highschool,Married-civ-spouse,Craft-repair,White,Male,0.0,44,United-States,1.0
39.0,Private,136081,Highschool,Married-civ-spouse,Machine-op-inspct,White,Male,16431.1812009425,40,United-States,1.0
29.0,Private,244473,Doctorate,Married-civ-spouse,Tech-support,White,Male,0.0,40,United-States,1.0
45.0,Private,187033,Highschool,Married-civ-spouse,Craft-repair,White,Male,0.0,40,United-States,1.0
34.0,Private,265807,Highschool,Married-civ-spouse,Transport-moving,White,Male,15350.537363791702,55,United-States,1.0
